dosage,kd,M,Mpred,mf,cc
0,100.0,15,75.0,49.99937022211752,0.0332675633895939
0,100.0,30,75.0,50.33461361461994,0.026255568326578993
0,100.0,52,75.0,49.898683883649596,0.020524737988223535
0,100.0,75,75.0,49.34229727807735,0.017818100209541804
0,100.0,112,75.0,50.310472716103085,0.01742591087017506
0,100.0,188,75.0,50.12400599087805,0.02288594831763396
0,100.0,300,75.0,49.67344861747735,0.03342755057006607
0,200.0,25,125.0,49.70016873074083,0.03202078504497046
0,200.0,50,125.0,49.31634581231865,0.024620959184549675
0,200.0,88,125.0,49.683082019813625,0.018396845817377765
0,200.0,125,125.0,49.37215385532725,0.015803767301336556
0,200.0,188,125.0,50.05797995673001,0.015024452110027156
0,200.0,312,125.0,49.93468169511485,0.01883582354083965
0,200.0,500,125.0,49.77384812102799,0.02621468662792828
0,500.0,55,275.0,50.22793064136124,0.030847888159181606
0,500.0,110,275.0,49.89780916639682,0.023324570328731867
0,500.0,192,275.0,49.75644145836947,0.01711136233563358
0,500.0,275,275.0,49.694244927169805,0.01427773809977683
0,500.0,412,275.0,50.233664600779946,0.01330824355490194
0,500.0,688,275.0,49.60031827091987,0.0161947041600028
0,500.0,1100,275.0,49.8989399298243,0.02183451565935685
0,1000.0,105,525.0,49.85516724678268,0.03054671539911286
0,1000.0,210,525.0,49.570185430319896,0.02282543917731124
0,1000.0,368,525.0,49.36990681730146,0.016569363063913874
0,1000.0,525,525.0,49.78436848547282,0.013687452104109817
0,1000.0,788,525.0,49.93685402033291,0.012758601008442111
0,1000.0,1312,525.0,49.59928139232555,0.015311547026744903
0,1000.0,2100,525.0,49.51304844355229,0.02036623400166162
3,100.0,15,75.0,49.96767652727954,0.03794652970366765
3,100.0,30,75.0,49.146895682211486,0.030368892943282832
3,100.0,52,75.0,49.46777474602589,0.023583011834613348
3,100.0,75,75.0,49.24299573101103,0.01993509660058612
3,100.0,112,75.0,49.94240157337226,0.017918093586991563
3,100.0,188,75.0,49.845941531148235,0.02046419260001534
3,100.0,300,75.0,49.57175625846443,0.02771799284760949
3,200.0,25,125.0,49.475539348694895,0.03674119357902945
3,200.0,50,125.0,49.26360544018233,0.0282731329870617
3,200.0,88,125.0,49.826217828481155,0.020888035185368525
3,200.0,125,125.0,50.15608032572339,0.017214863066622225
3,200.0,188,125.0,50.054764229772964,0.01503713178467231
3,200.0,312,125.0,50.14447280734308,0.01666949116352744
3,200.0,500,125.0,50.01426810636461,0.022032652780737978
3,500.0,55,275.0,50.04756508048223,0.035335928979442655
3,500.0,110,275.0,49.92064786144605,0.026471549886955714
3,500.0,192,275.0,49.58598435258247,0.019132859932469885
3,500.0,275,275.0,49.86532551861166,0.015343952024338933
3,500.0,412,275.0,50.11906215190587,0.013169514183729258
3,500.0,688,275.0,50.08929822862054,0.014312844010988302
3,500.0,1100,275.0,49.6986373579511,0.018481396911808348
3,1000.0,105,525.0,49.179630322259676,0.03492109470219434
3,1000.0,210,525.0,49.17155902959982,0.0260988695536873
3,1000.0,368,525.0,49.367729769219935,0.018390392347793157
3,1000.0,525,525.0,49.80026225743967,0.014728551150395466
3,1000.0,788,525.0,49.87452414092299,0.012571741949073508
3,1000.0,1312,525.0,49.827958524781764,0.013510204538514821
3,1000.0,2100,525.0,49.90825492842575,0.017306943847439013
