M,kd,beta,p,Ff,FT,mf,mT,eps_thin,eps_lna,thin_pred,lna_pred,CV2f,thin_err,lna_err,hybrid_pred,hyb_err
2,3.0,0.0,0.7162507903546917,4.862252054919023,4.532498948219004,9.999999999999734,11.432501580709117,0.6,0.9609405355698162,3.1194993689314026,4.843762142279265,0.4862252054919152,-0.451227071979423,-0.0047873397118681,4.394521431201382,-0.12110308106948431
3,3.0,0.0,0.7178653675523883,4.799674933451666,4.336730931460473,9.999999999999757,12.15359610265692,0.5,0.9427199542616784,2.6683654657302367,4.770879817046714,0.4799674933451784,-0.5609188957080927,-0.0075783104895224,4.1456028310899455,-0.17213896288953168
4,3.0,0.0,0.7193028740601645,4.740374945110423,4.1613530929828695,9.999999999999767,12.877211496240427,0.4285714285714285,0.925272666484402,2.354865611278373,4.701090665937608,0.4740374945110532,-0.6377727818304658,-0.010502765030059,3.9251136060429714,-0.217962463932445
5,3.0,0.0,0.7206020653368965,4.683913424687474,4.003435771061083,9.999999999999767,13.603010326684252,0.375,0.90853970269134,2.126288414147906,4.63415881076536,0.4683913424687582,-0.6942684899704301,-0.0135059129209408,3.728740642492372,-0.2592820927316267
7,3.0,0.0,0.722883354564466,4.578238526534348,3.730703748219231,9.999999999999789,15.06018348195105,0.3,0.8770190348233732,1.8192111244657692,4.508076139293493,0.4578238526534444,-0.7710574299642331,-0.0196080799870013,3.3948791656517976,-0.330710027324164
10,3.0,0.0,0.725733984035631,4.434541792460964,3.40384561358348,9.999999999999773,17.25733984035609,0.2307692307692307,0.8339976343753239,1.5547336031346493,4.335990537501296,0.4434541792461064,-0.8384839560396893,-0.028694149297002,3.004801555132121,-0.41628267283490705
14,3.0,0.0,0.7288183250418074,4.264493515758691,3.0741269056134666,9.999999999999767,20.203456550585077,0.1764705882352941,0.7832699529899256,1.3660223951082588,4.133079811959703,0.4264493515758789,-0.8878777386625647,-0.0402554647955692,2.624601283855,-0.5023420092542498
20,3.0,0.0,0.7324624937697631,4.044024838011681,2.722354705473921,9.999999999999762,24.64924987539503,0.1304347826086956,0.7184308664185219,1.224654961583555,3.873723465674088,0.4044024838011777,-0.9261980524014722,-0.0559461178538975,2.2373927833336476,-0.5935010884661844
28,3.0,0.0,0.7361833370272098,3.7970734677883775,2.407870066158244,9.99999999999974,30.61313343676161,0.0967741935483871,0.6477486039928005,1.1362454902733783,3.590994415971202,0.3797073467788476,-0.9512899851067884,-0.0736766674849339,1.9119458699572545,-0.6739642771420222
39,3.0,0.0,0.7400243874829471,3.519236445383513,2.1296836145987865,9.99999999999972,38.86095111183465,0.0714285714285714,0.5713259468217586,1.0806916867570562,3.2853037872870345,0.3519236445383612,-0.9679697842951888,-0.0928585558235945,1.6454175607196784,-0.7438042935976087
54,3.0,0.0,0.743862135238606,3.219121893748453,1.895632290756131,9.999999999999698,50.16855530288443,0.0526315789473684,0.4928854939749484,1.0471385416187438,2.9715419758997936,0.321912189374855,-0.9787580205704162,-0.1115666149507709,1.4414441640492501,-0.8010725930410338
74,3.0,0.0,0.7475315557057615,2.912535658893213,1.7089071521864958,9.999999999999613,65.31733512222596,0.0389610389610389,0.4172598442903409,1.0276197591760972,2.669039377161364,0.2912535658893326,-0.985558565118686,-0.1273159434176306,1.2957984879376463,-0.8453370076724085
