regime,kd,M,Meff,mf,mf_ctl,CV2y,CV2y_ctl,dCV2y,CV2f,CV2f_ctl,dCV2f,spread,CV2cc_pred
dilution,200.0,10,15,50.01524415663548,50.08953488741393,0.32161028560711424,0.3238062866190716,-0.0021960010119573825,0.13672628019928446,0.14406980280854903,-0.0073435226092645745,0.0022863105252468874,0.0004
dilution,200.0,19,28,50.3803396708838,50.612817392314284,0.31994327778494935,0.32129938551316783,-0.0013561077282184808,0.1315395724022209,0.14271316092141867,-0.01117358851919778,0.00514107461135066,0.0014440000000000004
dilution,200.0,38,57,50.18458446271828,50.55681606318823,0.315699423565861,0.3171593054350723,-0.0014598818692113102,0.11921066536190153,0.13816771349136445,-0.018957048129462917,0.0016537876056456902,0.005776000000000002
dilution,200.0,73,110,51.059155935223046,51.190901903889255,0.30507662687440507,0.3135679476608939,-0.008491320786488843,0.10430555706084584,0.1323257974544745,-0.028020240393628673,0.0025818534048476782,0.021316000000000005
dilution,200.0,141,212,49.884708439260194,49.94879544700757,0.29931097960952807,0.31110961370276213,-0.011798634093234062,0.09130261611799455,0.12632548706641095,-0.0350228709484164,0.0014179808743228772,0.07952400000000001
dilution,200.0,274,411,49.57447260727185,49.467240441908885,0.2911961588928128,0.30510860229725356,-0.013912443404440755,0.08130851708164126,0.115543737057551,-0.03423521997590974,0.002045215468716194,0.30030400000000007
dilution,200.0,531,796,50.17983981162915,49.01924076039723,0.2787271844136141,0.2972508233967033,-0.018523638983089175,0.07805593411588121,0.10355561017205078,-0.025499676056169568,0.003594868840407467,1.127844
dilution,200.0,1029,1544,49.84978027834153,47.84793530933169,0.2696873153062307,0.29410215297135234,-0.024414837665121647,0.08058236179176068,0.09392611243602478,-0.013343750644264102,0.0026614442911765956,4.2353640000000015
dilution,200.0,1995,2992,49.96758146687707,47.27561592131272,0.264179904020383,0.2890435320132416,-0.024863627992858628,0.08310823380860763,0.0869173127314753,-0.0038090789228676647,0.0029016766115999293,15.920100000000001
dilution,500.0,10,15,49.98366871530438,49.79212324596517,0.3247778435911933,0.324972677601012,-0.0001948340098186785,0.14200372869528344,0.14387818544509667,-0.0018744567498132358,0.006168582624868635,8.264462809917357e-05
dilution,500.0,19,28,49.72959050031238,49.749290541375075,0.323448755098162,0.3274094936350339,-0.0039607385368718995,0.1369975011866026,0.14474067461257162,-0.00774317342596903,0.006089715704435145,0.0002983471074380165
dilution,500.0,38,57,49.707063630700105,50.00270634546871,0.32070002242820633,0.3199517618633968,0.0007482605648095331,0.13113643153192023,0.13949429209579967,-0.008357860563879438,0.0027258655217685945,0.001193388429752066
dilution,500.0,73,110,49.97258850185372,50.4483442323411,0.31607885468220254,0.3194007864533148,-0.0033219317711122853,0.11796769045432293,0.13382040012724472,-0.015852709672921794,0.004204961643443056,0.004404132231404958
dilution,500.0,141,212,49.175722136974244,49.597969142752,0.31456825752278106,0.3191916120910889,-0.004623354568307869,0.1046572892402679,0.1281022295844471,-0.02344494034417921,0.0028513471117894984,0.016430578512396692
dilution,500.0,274,411,49.99766752835848,50.292256397275196,0.3009949749866497,0.30524003042994474,-0.004245055443295065,0.08570152560408434,0.11668098152421813,-0.03097945592013379,0.003233404959963354,0.06204628099173555
dilution,500.0,531,796,49.506727947506064,49.362979404554906,0.29006116419369343,0.3014006087564449,-0.011339444562751488,0.07379405661688608,0.10395028992796126,-0.030156233311075184,0.006375613151278409,0.23302561983471073
dilution,500.0,1029,1544,49.89152468091055,48.872820895311854,0.2765910543225477,0.2939763201376332,-0.017385265815085482,0.06795462400037383,0.09102493390797152,-0.02307030990759769,0.004316523657054427,0.8750752066115702
dilution,500.0,1995,2992,49.84681108173698,48.14235411619815,0.26618472247258823,0.29256375813617597,-0.026379035663587735,0.06736424888089458,0.08134331362019026,-0.01397906473929568,0.0019917651835102135,3.2892768595041324
active-deg,200.0,10,15,50.018186496992456,50.06435302565332,1.4583360788457098,1.4600731456890172,-0.0017370668433074332,0.12119001244659666,0.12434712948399013,-0.0031571170373934643,0.008684631829191658,0.0004
active-deg,200.0,19,28,50.12620339839982,50.297919115723886,1.4498786636645025,1.4521940364130481,-0.002315372748545652,0.11586337214607292,0.12195319100355731,-0.006089818857484386,0.01575190763461165,0.0014440000000000004
active-deg,200.0,38,57,50.0845008375623,50.191103125088304,1.4468101614759643,1.464988307834838,-0.018178146358873715,0.10899455807197037,0.1185591927194637,-0.00956463464749334,0.009228929931373031,0.005776000000000002
active-deg,200.0,73,110,50.16994454491888,50.17919390163757,1.427363530057653,1.4559416525523994,-0.02857812249474634,0.1002856989030628,0.11271143968957778,-0.012425740786514983,0.016837343571613816,0.021316000000000005
active-deg,200.0,141,212,49.90779035534129,49.620680639355584,1.4137650110200073,1.466618853397093,-0.05285384237708568,0.09490664270084162,0.10429712738983363,-0.009390484688992007,0.0053000834894595394,0.07952400000000001
active-deg,200.0,274,411,50.084837792298835,49.08531481761785,1.39149779677441,1.467105259152619,-0.07560746237820903,0.0958068916640182,0.0928818415083073,0.002925050155710901,0.006348757840112351,0.30030400000000007
active-deg,200.0,531,796,49.942089196664675,47.845467203092774,1.385332604532932,1.5030621783129967,-0.11772957378006477,0.10384013567309322,0.08107541224798542,0.022764723425107797,0.005942101420375212,1.127844
active-deg,200.0,1029,1544,49.978649212029914,46.75132683652129,1.3801917946189328,1.5373667639614612,-0.1571749693425284,0.11385108908130676,0.07094891383884579,0.04290217524246097,0.004547553118605996,4.2353640000000015
active-deg,200.0,1995,2992,49.961783951953834,45.88377007260219,1.3772521030968017,1.5536605833513968,-0.1764084802545951,0.1215639104026789,0.06382858474342866,0.05773532565925024,0.0033997371169094404,15.920100000000001
active-deg,500.0,10,15,50.190539431882016,50.19125228096788,1.4509397699461624,1.4608082155196125,-0.009868445573450124,0.12282436481577255,0.12478386342218888,-0.001959498606416324,0.010294694316113961,8.264462809917357e-05
active-deg,500.0,19,28,49.97658950736321,50.11277410745531,1.4579142495390944,1.4589593682135997,-0.0010451186745052965,0.12066200355250195,0.12332012631781492,-0.0026581227653129647,0.006375099952722008,0.0002983471074380165
active-deg,500.0,38,57,49.9671155665708,50.05594396200328,1.4544565647546852,1.459285780663174,-0.0048292159084888375,0.11463542628392365,0.12060548037655597,-0.005970054092632321,0.0019510352248981455,0.001193388429752066
active-deg,500.0,73,110,50.12450451965802,50.239450277591104,1.4329042928814872,1.460838173520274,-0.027933880638786768,0.10686434311179424,0.11533262703212341,-0.008468283920329167,0.009883719393241952,0.004404132231404958
active-deg,500.0,141,212,50.18083443950077,50.21449887579361,1.4262344637958544,1.4476392994043166,-0.02140483560846218,0.09668030907126514,0.10779165130979576,-0.011111342238530622,0.0038488793007360744,0.016430578512396692
active-deg,500.0,274,411,49.93375067452476,49.74180413839817,1.415790628828986,1.4543271298187803,-0.03853650098979422,0.08819031448213807,0.09770145504045058,-0.009511140558312509,0.003289903791014459,0.06204628099173555
active-deg,500.0,531,796,49.95581915080972,49.18305827081226,1.4091772577644521,1.4578078845233278,-0.04863062675887564,0.08462593030941304,0.08487447717612595,-0.00024854686671291204,0.0022392163039892665,0.23302561983471073
active-deg,500.0,1029,1544,49.77294011349309,48.016875339649786,1.3854371274631005,1.4848167324195198,-0.09937960495641929,0.08745093847370461,0.07328961920470414,0.014161319269000466,0.001285145950611244,0.8750752066115702
active-deg,500.0,1995,2992,49.875181643206496,47.25496813213132,1.3715216153450203,1.5051328596170075,-0.13361124427198723,0.09282557930815474,0.06352767707571923,0.029297902232435516,0.023199969832361278,3.2892768595041324
