regime,kd,dosage,Mstar_pred,M,kx,mf,mf_static,CV2f,CV2f_static,CV2y,CV2y_static,step,ramp,dCV2y_repl,dCV2f_repl
dilution,200.0,0,135.72088082974528,0,6.724399225355416,50.594739058457144,50.40133928178811,0.14406401482699413,0.14214449171389726,0.3249845041331094,0.3212967836413185,-0.08368840625446092,0.38434101658931874,0.0036877204917909467,0.0019195231130968715
dilution,200.0,0,135.72088082974528,10,7.078373813747067,50.0239640462671,51.08329132534086,0.13687212529462944,0.14232677267103766,0.32372432672123486,0.31175159384361417,-0.11877565163488943,0.392706644738419,0.011972732877620684,-0.005454647376408217
dilution,200.0,0,135.72088082974528,19,7.487239941105722,50.449079675213056,52.54865468400568,0.13087122629133063,0.13951810940406828,0.3148402522546249,0.30476034277158426,-0.1485260867955721,0.4035925185925503,0.010079909483040661,-0.008646883112737647
dilution,200.0,0,135.72088082974528,38,8.247671137139736,50.08408849364558,54.00957071070306,0.11963189249129877,0.13445136379205247,0.3168357323332288,0.3042683425660582,-0.19698228542740306,0.41238548529746794,0.01256738976717059,-0.0148194713007537
dilution,200.0,0,135.72088082974528,73,9.77825256836536,51.105650731453004,57.1654235097293,0.10324247207624272,0.12655870877092926,0.3034850304369595,0.2820843701344618,-0.26613192532350616,0.4214110690499789,0.02140066030249771,-0.023316236694686535
dilution,200.0,0,135.72088082974528,141,12.243756059508978,49.736578447495475,60.092422328389354,0.09149183488068098,0.11914567600870524,0.30041936727567414,0.27117284918368967,-0.37803651225179696,0.44896607928073073,0.029246518091984475,-0.027653841128024256
dilution,200.0,0,135.72088082974528,274,17.28965493189476,49.52224243771857,64.35337326979838,0.08085630156694266,0.10968901534037305,0.29042886268072066,0.2499143251102341,-0.4995049631393676,0.47665012422028324,0.040514537570486564,-0.028832713773430385
dilution,200.0,0,135.72088082974528,531,27.169708794707034,50.20074488321048,69.33301229889709,0.07823053572794973,0.10130179873998067,0.2810459674676836,0.23167701751390163,-0.6230665451704942,0.5105424545124013,0.04936894995378199,-0.02307126301203094
dilution,200.0,0,135.72088082974528,1029,45.66243645225915,50.00413404690918,72.76565634856249,0.08053510302411906,0.09592599633259312,0.270573459415465,0.21347666974658316,-0.7202863592399664,0.5414547232140422,0.05709678966888185,-0.015390893308474055
dilution,200.0,0,135.72088082974528,1995,81.84876807762714,49.932135434674336,75.58525471135626,0.08316025708201734,0.09076914563597961,0.2643544805390792,0.2024526839705771,-0.7844858223805579,0.5634762303893631,0.06190179656850206,-0.007608888553962273
dilution,200.0,3,135.72088082974528,0,4.705071628971025,49.95326859839663,35.15486505679688,0.1467057756463507,0.19236333496708996,0.2531771102985797,0.4496353423307589,-0.08071337555628329,0.30526668369582605,-0.19645823203217921,-0.045657559320739255
